,,,,,,,,,," 16,542,750,383 "
Accounting Period Year,Accounting Period Month,Month Manufactured,Day Manufactured,Year Manufactured,Plant of Manufacture,Train,Plant Code,Trade Product Code,Value Center Code, Inventory Net Weight LBS 
2013,02,November,02,2012,Plant N,3I,1116,00121746,00007129," 429,015 "
2013,02,November,02,2012,Plant N,3K,1116,00121746,00007129," 427,031 "
2013,02,November,02,2012,Plant X,1B,1155,00086083,00010269," 768,090 "
2013,02,November,02,2012,Plant X,5B,1116,00086097,00010270," 835,683 "
2013,02,November,03,2012,Plant N,3J,1110,00236317,00007129," 429,845 "
2013,02,November,03,2012,Plant R,1F,1111,00086299,00009995," 590,862 "
2013,02,November,03,2012,Plant R,2D,1159,00132191,00009995," 625,523 "
2013,02,November,03,2012,Plant R,2F,1136,00132191,00009995," 629,603 "
2013,02,November,03,2012,Plant R,2J,1136,00132191,00009995," 625,450 "
2013,02,November,03,2012,Plant T,3C,1149,00089747,00010270," 949,684 "
2013,02,November,03,2012,Plant T,3E,1149,00089747,00010270," 835,877 "
2013,02,November,03,2012,Plant W,3B,1131,00102162,00010270," 845,393 "
2013,02,November,03,2012,Plant X,1A,1155,00092869,00009995," 640,240 "
2013,02,November,04,2012,Plant M,52,1116,00127688,00007119," 388,000 "
2013,02,November,04,2012,Plant N,3I,1110,00236317,00007129," 422,361 "
2013,02,November,04,2012,Plant R,2B,1112,00132191,00009995," 629,020 "
2013,02,November,04,2012,Plant R,2I,1114,00092941,00009995," 630,332 "
2013,02,November,04,2012,Plant T,3C,1124,00092869,00009995," 642,280 "
2013,02,November,05,2012,Plant D,01,1158,00049966,00007961," 578,448 "
2013,02,November,06,2012,Plant S,MA,1131,00089750,00010270," 851,802 "
2013,02,November,06,2012,Plant T,2A,1116,00092973,00009995," 646,068 "
2013,02,November,06,2012,Plant T,3H,1123,00090260,00010270," 852,385 "
2013,02,November,06,2012,Plant U,1B,1150,00356486,00010269," 760,000 "
2013,02,November,07,2012,Plant T,3C,1123,00090260,00010270," 855,104 "
2013,02,November,08,2012,Plant R,2D,1112,00092941,00009995," 644,465 "
2013,02,November,08,2012,Plant T,3H,1116,00086114,00010270," 856,463 "
2013,02,November,08,2012,Plant T,B1,1149,00102122,00009995," 641,697 "
2013,02,November,09,2012,Plant R,1C,1116,00086300,00009995," 646,797 "
2013,02,November,09,2012,Plant U,4A,1150,00127279,00010269," 770,206 "
2013,02,November,10,2012,Plant D,01,1127,00070227,00007961," 584,930 "
2013,02,November,10,2012,Plant T,3G,1116,00086114,00010270," 847,530 "
2013,02,November,11,2012,Plant R,1F,1116,00092953,00009995," 644,757 "
2013,02,November,12,2012,Plant W,2D,1116,00067663,00009995," 401,571 "
2013,02,November,13,2012,Plant M,42,1116,00184592,00007119," 426,814 "
2013,02,November,13,2012,Plant R,1H,1159,00092953,00009995," 673,170 "
2013,02,November,13,2012,Plant W,2E,1152,00067663,00009995," 644,465 "
2013,02,November,13,2012,Plant Y,01,1122,00007930,00007129," 423,235 "
2013,02,November,14,2012,Plant M,31,1160,00053454,00007119," 429,901 "
2013,02,November,14,2012,Plant M,32,1160,00053454,00007119," 384,927 "
2013,02,November,14,2012,Plant M,43,1116,00184592,00007119," 381,576 "
2013,02,November,14,2012,Plant R,1A,1116,00089605,00010269," 780,435 "
2013,02,November,14,2012,Plant U,4A,1150,00127279,00010269," 773,381 "
2013,02,November,15,2012,Plant W,1E,1152,00124081,00009995," 645,777 "
2013,02,November,15,2012,Plant W,1F,1152,00124081,00009995," 641,260 "
2013,02,November,15,2012,Plant W,1G,1152,00124081,00009995," 649,419 "
2013,02,November,16,2012,Plant D,03,1127,00049966,00007961," 580,432 "
2013,02,November,16,2012,Plant R,1F,1114,00092953,00009995," 641,697 "
2013,02,November,16,2012,Plant W,1B,1163,00068332,00009995," 639,220 "
2013,02,November,16,2012,Plant W,S1,1152,00120567,00009995," 681,475 "
2013,02,November,17,2012,Plant A,1C,1116,00020525,00007129," 427,998 "
2013,02,November,17,2012,Plant A,3A,1160,00116129,00007129," 427,512 "
2013,02,November,17,2012,Plant A,3B,1160,00116129,00007129," 428,354 "
